date;city;duration;shape;location
04/07/2011;muncie;240;OTRA;(40.1933333,-85.3863889)
07/04/2005;deming (somewhere near);1200;OTRA;(32.2686111,-107.7580556)
12/03/2010;erie;300;OTRA;(42.1291667,-80.0852778)
04/07/2013;seattle;600;OTRA;(47.6063889,-122.3308333)
09/09/2003;clearwater;120;TRIANGULAR;(27.9655556,-82.8002778)
11/07/2010;taneytown;3600;OTRA;(39.6577778,-77.1747222)
01/09/2011;bremerton;1800;CIRCULAR;(47.5675,-122.6313889)
11/07/2010;bloomsburg;1800;OTRA;(41.0036111,-76.4552778)
04/09/2007;north myrtle beach;1800;OTRA;(33.8158333,-78.6802778)
01/06/1964;sallisaw;1800;OTRA;(35.4602778,-94.7872222)
31/05/2004;modesto;120;OTRA;(37.6391667,-120.9958333)
03/02/2014;ritzville;3600;OTRA;(47.1275,-118.3788889)
25/09/2008;bethel;900;CIRCULAR;(38.9636111,-84.0808333)
04/07/2004;tahoe city;30;OTRA;(39.1722222,-120.1377778)
28/06/2005;hesperia;600;OTRA;(34.4263889,-117.3)
25/10/2007;marion;900;OTRA;(42.0341667,-91.5975)
14/05/2000;union beach;120;TRIANGULAR;(40.4463889,-74.1786111)
23/11/2013;spokane;540;OTRA;(47.6588889,-117.425)
03/03/2007;oglala;600;OTRA;(43.1886111,-102.7391667)
22/01/2003;salem;120;OTRA;(44.9430556,-123.0338889)
02/09/2004;sisseton;5;OTRA;(45.6647222,-97.0494444)
18/09/1986;owensboro;180;OTRA;(37.7741667,-87.1133333)
20/07/1986;new haven;600;TRIANGULAR;(41.3080556,-72.9286111)
04/06/2004;eugene;180;OTRA;(44.0522222,-123.0855556)
30/06/1997;venice;600;OTRA;(27.0994444,-82.4544444)
04/07/2010;north bend;120;OTRA;(41.4619444,-96.7794444)
14/12/2013;purcell;60;OTRA;(35.0136111,-97.3608333)
30/04/1983;lehi;15;OTRA;(40.3916667,-111.85)
09/04/2004;lemoore;40;CIRCULAR;(36.3008333,-119.7819444)
22/05/1997;simi valley;240;OTRA;(34.2694444,-118.7805556)
04/05/2006;el paso;1200;OTRA;(31.7586111,-106.4863889)
20/05/1991;atlanta (however&#44 i have heard entire east coast);3600;OTRA;(33.7488889,-84.3880556)
04/07/2011;parkland;900;OTRA;(47.1555556,-122.4327778)
14/05/2010;fond du lac;900;OTRA;(43.7730556,-88.4469444)
21/01/2010;rochester;2400;CIRCULAR;(43.1547222,-77.6158333)
01/04/2000;chicago;30;OTRA;(41.85,-87.65)
28/10/2005;cocoa;10;OTRA;(28.3858333,-80.7422222)
16/08/1985;columbia;90;OTRA;(31.2925,-85.1116667)
07/09/1999;manasota key;60;OTRA;(26.925,-82.3522222)
20/04/1999;denver;6;OTRA;(39.7391667,-104.9841667)
16/05/2006;west bridgewater;30;OTRA;(41.9902778,-70.9755556)
20/08/1990;newport;1380;OTRA;(35.9669444,-83.1877778)
27/03/2005;los alamitos;2700;OTRA;(33.8030556,-118.0716667)
30/04/2003;pottstown;30;OTRA;(40.2452778,-75.65)
18/08/2001;port angeles;60;OTRA;(48.1183333,-123.4294444)
18/12/2011;exeland;300;OTRA;(45.6680556,-91.2438889)
15/08/2005;olympia;300;OTRA;(47.0380556,-122.8994444)
29/11/2012;copperas cove;300;OTRA;(31.1238889,-97.9027778)
01/06/1981;reno;60;OTRA;(39.5297222,-119.8127778)
25/09/2008;las vegas;5;OTRA;(36.175,-115.1363889)
12/02/2008;los gatos;2;CIRCULAR;(37.2266667,-121.9736111)
31/08/2007;culver city;5;OTRA;(34.0211111,-118.3955556)
23/06/2012;allison park;3600;OTRA;(40.5594444,-79.9588889)
18/10/2004;hampton bays;300;OTRA;(40.8688889,-72.5180556)
25/02/2014;frederick;600;OTRA;(39.4141667,-77.4108333)
09/10/2003;livonia;2400;OTRA;(42.3683333,-83.3527778)
27/12/2013;marietta;120;OTRA;(45.0083333,-96.4172222)
10/10/2010;greenwich;240;OTRA;(41.0263889,-73.6288889)
14/08/2003;binghamton;15;OTRA;(42.0986111,-75.9183333)
26/07/2007;san antonio;1800;OTRA;(29.4238889,-98.4933333)
10/06/2002;hogansville;1500;OTRA;(33.1730556,-84.915)
01/09/2013;grenada;600;OTRA;(33.7688889,-89.8083333)
11/08/2012;portland (garden home);1200;OTRA;(45.5236111,-122.675)
11/11/2006;fairless hills;59;OTRA;(40.1794444,-74.8555556)
03/11/2000;dover;180;TRIANGULAR;(39.1580556,-75.5247222)
03/05/2004;fort collins (seen from);120;OTRA;(40.5852778,-105.0838889)
08/06/1993;worcester;720;OTRA;(42.2625,-71.8027778)
01/11/1994;lower lake (near);600;OTRA;(38.9105556,-122.6091667)
05/09/2013;kings mountain;60;OTRA;(35.245,-81.3413889)
23/10/2004;greendale;5;CIRCULAR;(42.9405556,-87.9958333)
15/07/2008;boardman;120;OTRA;(41.0241667,-80.6630556)
09/03/2009;vienna;10;OTRA;(38.9011111,-77.2655556)
21/03/2002;san anselmo;120;OTRA;(37.9747222,-122.5605556)
13/03/1997;phoenix;600;OTRA;(33.4483333,-112.0733333)
15/10/1997;alvarado;30;OTRA;(32.4063889,-97.2113889)
30/11/2004;mesa;90;OTRA;(33.4222222,-111.8219444)
13/01/2007;stockton;10;TRIANGULAR;(37.9577778,-121.2897222)
09/10/2007;omaha;45;TRIANGULAR;(41.2586111,-95.9375)
03/05/2012;bristol;28;OTRA;(40.1005556,-74.8522222)
12/05/2001;sunriver;1200;TRIANGULAR;(43.8841667,-121.4375)
23/10/2003;seattle;3;OTRA;(47.6063889,-122.3308333)
29/01/2012;quinlan;300;OTRA;(32.9102778,-96.1352778)
20/11/1990;roanoke;60;OTRA;(37.2708333,-79.9416667)
22/11/2007;lewes;3600;OTRA;(38.7744444,-75.1397222)
25/01/2000;gold bar;14;OTRA;(47.8569444,-121.6958333)
16/06/2008;hastings;17;OTRA;(40.5861111,-98.3880556)
22/02/2009;tyler;780;OTRA;(32.3511111,-95.3008333)
15/03/2011;glasgow;345600;CIRCULAR;(48.1969444,-106.6361111)
22/02/2009;vanleer;2700;OTRA;(36.235,-87.4438889)
09/06/2009;mckinney;15;OTRA;(33.1975,-96.615)
21/08/2008;newport;30;OTRA;(41.49,-71.3133333)
25/06/2007;san juan capistrano;20;OTRA;(33.5016667,-117.6616667)
03/11/2010;albany;10800;OTRA;(42.6525,-73.7566667)
01/01/2009;campbellsville;3600;OTRA;(37.3433333,-85.3419444)
23/04/2014;mount vernon;600;OTRA;(48.4213889,-122.3327778)
27/06/2008;elko;600;OTRA;(40.8325,-115.7622222)
27/12/2008;st. cloud;3600;TRIANGULAR;(45.5608333,-94.1622222)
23/08/2008;orlando;120;OTRA;(28.5380556,-81.3794444)
31/08/1999;elko;60;OTRA;(40.8325,-115.7622222)
